Name_lang,ID,ChrCustomizationOptionID,ChrCustomizationReqID,OrderIndex,SwatchColor1,SwatchColor2,UiOrderIndex,Flags
,425,22,141,10,-8479621,0,7,0
,426,22,10,11,2829114,0,100,0
None,427,23,141,0,0,0,0,0
Stubble,428,23,141,1,0,0,1,0
Chin Puff,429,23,141,2,0,0,2,0
Goatee,430,23,141,3,0,0,3,0
Split,431,23,141,4,0,0,4,0
Full,432,23,141,5,0,0,5,0
Thick,433,23,141,6,0,0,6,0
Tied,434,23,141,7,0,0,7,0
Long,435,23,141,8,0,0,8,0
Braid,436,23,141,9,0,0,9,0
Ringed,437,23,141,10,0,0,10,0
Hunched,438,24,141,0,0,0,0,0
Upright,439,24,141,1,0,0,1,0
,440,25,141,0,-7161797,0,1,0
,441,25,141,1,-4798662,0,2,0
,442,25,141,2,-4540880,0,3,0
,443,25,141,3,-6186950,0,6,0
,444,25,141,4,-5204683,0,5,0
,445,25,141,5,-4676041,0,4,0
,446,25,141,6,-9066879,0,12,0
,447,25,141,7,-7886771,0,9,0
,448,25,141,8,-6373557,0,8,0
,449,25,12,9,0,0,90,0
,450,25,12,10,0,0,91,0
,451,25,89,11,11839888,0,70,0
,452,25,89,12,-4550092,0,72,0
,453,25,89,13,11048572,0,71,0
,454,25,12,14,0,0,92,0
,455,25,12,15,0,0,93,0
,456,25,12,16,0,0,94,0
,457,25,12,17,0,0,95,0
,458,25,12,18,0,0,96,0
,459,25,12,19,0,0,97,0
,460,25,12,20,0,0,98,0
,461,25,12,21,0,0,99,0
,462,25,12,22,0,0,100,0
,463,25,12,23,0,0,101,0
,464,25,12,24,0,0,102,0
,465,25,12,25,0,0,103,0
,466,25,12,26,0,0,104,0
,467,25,12,27,0,0,105,0
,468,25,12,28,0,0,106,0
,469,25,12,29,0,0,107,0
,470,25,12,30,0,0,108,0
,471,25,10,31,0,0,109,0
,472,26,146,0,0,0,0,0
,473,26,146,1,0,0,1,0
,474,26,146,2,0,0,2,0
,475,26,146,3,0,0,3,0
,476,26,146,4,0,0,4,0
,477,26,146,5,0,0,5,0
,478,26,146,6,0,0,6,0
,479,26,146,7,0,0,7,0
,480,26,146,8,0,0,8,0
,481,26,142,9,0,0,9,0
,482,26,142,10,0,0,10,0
,483,26,142,11,0,0,11,0
,484,26,142,12,0,0,12,0
,485,26,142,13,0,0,13,0
,486,26,142,14,0,0,14,0
,487,26,142,15,0,0,15,0
,488,26,142,16,0,0,16,0
,489,26,142,17,0,0,17,0
Topknot,490,27,141,0,0,0,0,0
Tail,491,27,141,1,0,0,1,0
Crest,492,27,141,2,0,0,2,0
Tufts,493,27,141,3,0,0,3,0
Boar Tails,494,27,141,4,0,0,4,0
Horns,495,27,141,5,0,0,5,0
Mane,496,27,141,6,0,0,6,0
Bald,497,27,141,7,0,0,7,0
Wild,498,27,141,8,0,0,8,0
Styled,499,27,141,9,0,0,9,0
Tomboy,500,27,141,10,0,0,10,0
Flipped,501,27,141,11,0,0,11,0
Long,502,27,141,12,0,0,12,0
Bangs,503,27,141,13,0,0,13,0
Braids,504,27,141,14,0,0,14,0
,505,28,141,0,-13094797,0,10,0
,506,28,141,1,-8376823,0,4,0
,507,28,141,2,-9437173,0,2,0
,508,28,141,3,-8908689,0,21,0
,509,28,141,4,-10411910,0,20,0
,510,28,141,5,4999233,0,23,0
,511,28,141,6,-9868488,0,6,0
,512,28,141,7,-6776434,0,22,0
,513,28,141,8,-11585910,0,11,0
,514,28,141,9,-13477545,0,9,0
,515,28,141,10,-8479621,0,7,0
,516,28,10,11,2829114,0,100,0
None,517,29,141,0,0,0,0,0
Gold Hoops,518,29,141,1,0,0,1,0
Gold Helix,519,29,141,2,0,0,2,0
Asymmetric,520,29,141,3,0,0,3,0
Gold Stack,521,29,141,4,0,0,4,0
Plugs,522,29,141,5,0,0,5,0
Bone Helix,523,29,141,6,0,0,6,0
,524,30,141,0,12222298,0,5,0
,525,30,141,1,-3763615,0,3,0
,526,30,141,2,13611925,0,1,0
,527,30,141,3,12023374,0,6,0
,528,30,141,4,10516049,0,9,0
,529,30,141,5,7757127,0,10,0
,530,30,141,6,12229240,0,2,0
,531,30,141,7,11178619,0,4,0
,532,30,141,8,-6653334,0,8,0
,533,30,12,9,0,0,100,0
,534,30,12,10,0,0,101,0
,535,30,12,11,0,0,102,0
,536,30,12,12,0,0,103,0
,537,30,12,13,0,0,104,0
,538,30,12,14,0,0,105,0
,539,30,12,15,0,0,106,0
,540,30,12,16,0,0,107,0
,541,30,12,17,0,0,108,0
,542,30,12,18,0,0,109,0
,543,30,91,19,-9345451,0,72,0
,544,30,91,20,-7238270,0,71,0
,545,30,91,21,-6189473,0,70,0
,546,30,12,22,0,0,110,0
,547,30,12,23,0,0,111,0
,548,30,12,24,0,0,112,0
,549,30,12,25,0,0,113,0
,550,30,10,26,0,0,114,0
,551,31,146,0,0,0,0,0
,552,31,146,1,0,0,1,0
,553,31,146,2,0,0,2,0
,554,31,146,3,0,0,3,0
,555,31,146,4,0,0,4,0
,556,31,146,5,0,0,5,0
,557,31,146,6,0,0,6,0
,558,31,146,7,0,0,7,0
,559,31,146,8,0,0,8,0
,560,31,146,9,0,0,9,0
,561,31,142,10,0,0,10,0
,562,31,142,11,0,0,11,0
,563,31,142,12,0,0,12,0
,564,31,142,13,0,0,13,0
,565,31,142,14,0,0,14,0
,566,31,142,15,0,0,15,0
,567,31,142,16,0,0,16,0
,568,31,142,17,0,0,17,0
,569,31,142,18,0,0,18,0
,570,31,142,19,0,0,19,0
Bald,571,32,141,0,0,0,0,0
Long,572,32,141,1,0,0,1,0
Tail,573,32,141,2,0,0,2,0
Short,574,32,141,3,0,0,3,0
Topknot,575,32,141,4,0,0,4,0
Short Tail,576,32,141,5,0,0,5,0
Swept,577,32,141,6,0,0,6,0
Receding,578,32,141,7,0,0,7,0
Chonmage,579,32,141,8,0,0,8,0
Braid,580,32,141,9,0,0,9,0
Short Braid,581,32,141,10,0,0,10,0
Barbarian,582,32,141,11,0,0,11,0
Soldier,583,32,141,12,0,0,12,0
Scholar,584,32,141,13,0,0,13,0
Monk,585,32,141,14,0,0,14,0
Fabulous,586,32,141,15,0,0,15,0
Triple Knots,587,32,141,16,0,0,16,0
Tousled,588,32,141,17,0,0,17,0
Combover,589,32,141,18,0,0,18,0
,590,33,141,0,11749888,0,5,0
,591,33,141,1,14386944,0,9,0
,592,33,141,2,10693632,0,3,0
,593,33,141,3,10915698,0,8,0
,594,33,141,4,8405019,0,4,0
,595,33,141,5,-13815746,0,26,0
,596,33,141,6,10907713,0,6,0
,597,33,141,7,-6513508,0,28,0
,598,33,141,8,-10263709,0,27,0
,599,33,141,9,5523489,0,22,0
,600,33,141,10,6821666,0,1,0
,601,33,141,11,-10068404,0,21,0
,602,33,141,12,-14670518,0,25,0
,603,33,10,13,0,0,100,0
Full,604,34,141,0,0,0,0,0
Twin Braids,605,34,141,1,0,0,1,0
Groomed,606,34,141,2,0,0,2,0
Short,607,34,141,3,0,0,3,0
Medium,608,34,141,4,0,0,4,0
Ornate,609,34,141,5,0,0,5,0
Thick,610,34,141,6,0,0,6,0
Pointed,611,34,141,7,0,0,7,0
Braided,612,34,141,8,0,0,8,0
Humbug,613,34,141,9,0,0,9,0
Grimbeard,614,34,141,10,0,0,10,0
,615,35,141,0,13474169,0,5,0
,616,35,141,1,14135429,0,1,0
,617,35,141,2,13280911,0,3,0
,618,35,141,3,13275487,0,7,0
,619,35,141,4,11961180,0,8,0
,620,35,141,5,10119242,0,10,0
,621,35,141,6,13217671,0,2,0
,622,35,141,7,-3693433,0,4,0
,623,35,141,8,-4743787,0,6,0
,624,35,12,9,0,0,100,0
,625,35,12,10,0,0,101,0
,626,35,93,11,-5800083,0,72,0
,627,35,93,12,-5400212,0,71,0
,628,35,93,13,-5529190,0,70,0
,629,35,12,14,0,0,102,0
,630,35,12,15,0,0,103,0
,631,35,12,16,0,0,104,0
,632,35,12,17,0,0,105,0
,633,35,10,18,0,0,106,0
,634,36,146,0,0,0,0,0
,635,36,146,1,0,0,1,0
,636,36,146,2,0,0,2,0
,637,36,146,3,0,0,3,0
,638,36,146,4,0,0,4,0
,639,36,146,5,0,0,5,0
,640,36,146,6,0,0,6,0
,641,36,146,7,0,0,7,0
,642,36,146,8,0,0,8,0
,643,36,146,9,0,0,9,0
,644,36,142,10,0,0,10,0
,645,36,142,11,0,0,11,0
,646,36,142,12,0,0,12,0
,647,36,142,13,0,0,13,0
,648,36,142,14,0,0,14,0
,649,36,142,15,0,0,15,0
,650,36,142,16,0,0,16,0
,651,36,142,17,0,0,17,0
,652,36,142,18,0,0,18,0
,653,36,142,19,0,0,19,0
Thick Braids,654,37,141,0,0,0,0,0
Side Buns,655,37,141,1,0,0,1,0
Braided,656,37,141,2,0,0,2,0
Boar Tails,657,37,141,3,0,0,3,0
Braided Bun,658,37,141,4,0,0,4,0
Looped,659,37,141,5,0,0,5,0
Tied,660,37,141,6,0,0,6,0
Short,661,37,141,7,0,0,7,0
Parted,662,37,141,8,0,0,8,0
Short Braids,663,37,141,9,0,0,9,0
Bobbed,664,37,141,10,0,0,10,0
Cropped,665,37,141,11,0,0,11,0
Bangs,666,37,141,12,0,0,12,0
Gathered,667,37,141,13,0,0,13,0
Bun,668,37,141,14,0,0,14,0
Flirty,669,37,141,15,0,0,15,0
Waved Bob,670,37,141,16,0,0,16,0
Braided Tails,671,37,141,17,0,0,17,0
Braided Tail,672,37,141,18,0,0,18,0
Wings,673,37,141,19,0,0,19,0
Sassy Buns,674,37,141,20,0,0,20,0
,675,38,141,0,-5027328,0,4,0
,676,38,141,1,-2390272,0,8,0
,677,38,141,2,-6083584,0,2,0
,678,38,141,3,-5861518,0,7,0
,679,38,141,4,-8372197,0,3,0
,680,38,141,5,-13815746,0,26,0
,681,38,141,6,-5869503,0,5,0
,682,38,141,7,-6513508,0,28,0
,683,38,141,8,-10263709,0,27,0
,684,38,141,9,-11253727,0,22,0
,685,38,141,10,6821666,0,0,0
,686,38,141,11,-10068404,0,21,0
,687,38,141,12,-14670518,0,25,0
,688,38,10,13,-14670518,0,100,0
,695,40,141,0,10712704,0,1,0
,696,40,141,1,9859719,0,3,0
,697,40,141,2,7888239,0,5,0
,698,40,141,3,9147543,0,9,0
,699,40,141,4,8485513,0,7,0
,700,40,141,5,7962255,0,8,0
,701,40,141,6,10191216,0,10,0
,702,40,141,7,11500916,0,11,0
,703,40,141,8,10905716,0,2,0
,704,40,95,9,12496539,0,71,0
,705,40,95,10,-5726122,0,70,0
,706,40,95,11,7890003,0,72,0
,707,40,12,12,9516317,0,100,0
,708,40,12,13,11513761,0,101,0
,709,40,143,14,10128028,0,50,0
,710,40,143,15,7103359,0,52,0
,711,40,143,16,7497596,0,51,0
,712,40,143,17,-9936514,0,53,0
,713,40,143,18,6840702,0,54,0
,714,40,143,19,-9272426,0,55,0
,715,40,10,20,0,0,102,0
,716,40,12,21,0,0,103,0
,717,40,138,22,8288400,0,40,0
,718,40,12,23,11054754,0,104,0
,719,41,146,0,0,0,0,0
,720,41,146,1,0,0,1,0
,721,41,146,2,0,0,2,0
,722,41,146,3,0,0,3,0
,723,41,146,4,0,0,4,0
,724,41,146,5,0,0,5,0
,725,41,146,6,0,0,6,0
,726,41,146,7,0,0,7,0
,727,41,146,8,0,0,8,0
,728,41,142,9,0,0,9,0
,729,41,142,10,0,0,10,0
,730,41,142,11,0,0,11,0
,731,41,142,12,0,0,12,0
,732,41,142,13,0,0,13,0
,733,41,142,14,0,0,14,0
,734,41,142,15,0,0,15,0
,735,41,142,16,0,0,16,0
,736,41,142,17,0,0,17,0
Mane,737,42,141,0,0,0,0,0
Topknot,738,42,141,1,0,0,1,0
Long,739,42,141,2,0,0,2,0
Ponytail,740,42,141,3,0,0,3,0
Chonmage,741,42,141,4,0,0,4,0
Short Tail,742,42,141,5,0,0,5,0
Windswept,743,42,141,6,0,0,6,0
Short Braid,744,42,141,7,0,0,7,0
Wild,745,42,141,8,0,0,8,0
Long Braid,746,42,141,9,0,0,9,0
Mohawk,747,42,141,10,0,0,10,0
Long Tail,748,42,141,11,0,0,11,0
,749,43,141,0,5470976,0,2,0
,750,43,141,1,38986,0,4,0
,751,43,141,2,224320,0,5,0
,752,43,141,3,42632,0,6,0
,753,43,141,4,10662851,0,24,0
,754,43,141,5,1404809,0,7,0
,755,43,141,6,3030150,0,8,0
,756,43,141,7,5378694,0,20,0
,757,43,141,8,10295202,0,21,0
,758,43,141,9,11543150,0,23,0
,759,43,141,10,-12625627,0,3,0
,760,43,141,11,-13615795,0,9,0
,761,43,141,12,7363458,0,11,0
,762,43,12,13,2829122,0,100,0
None,763,44,141,0,0,0,0,0
Long,764,44,141,3,0,0,3,0
Full,765,44,141,4,0,0,4,0
Tied,766,44,141,5,0,0,5,0
Vines,767,44,141,6,0,0,6,0
Trimmed,768,44,141,7,0,0,7,0
None,769,376,141,0,0,0,0,0
Suffering,770,376,143,1,0,0,1,0
Betrayer,771,376,143,2,0,0,2,0
Pain,772,376,143,3,0,0,3,0
Sacrifice,773,376,143,4,0,0,4,0
Revenge,774,376,143,5,0,0,5,0
,775,46,170,1,-5439665,0,1,0
,776,46,170,2,-12022729,0,3,0
,777,46,170,3,6098427,0,4,0
,778,46,170,4,-9448655,0,2,0
,779,46,170,5,15140372,0,5,0
,780,46,170,6,4673380,0,6,0
None,782,47,141,0,0,0,0,0
Betrayer,783,47,143,1,0,0,1,0
Beast,784,47,143,2,0,0,2,0
Wide,785,47,143,3,0,0,3,0
Ram,786,47,143,4,0,0,4,0
Oni,787,47,143,5,0,0,5,0
High,788,47,143,6,0,0,6,0
None,789,48,145,0,0,0,0,0
Fel,790,48,143,1,0,0,1,0
Phantom,791,48,143,2,0,0,2,0
Fangs,792,48,143,3,0,0,3,0
Bone,793,48,143,4,0,0,4,0
Shield,794,48,143,5,0,0,5,0
Linen,795,48,141,6,0,0,6,8
Brown,796,48,143,7,-9877197,0,7,0
Gray,797,48,143,8,-9345414,0,8,0
Red,798,48,143,9,-7919329,0,9,0
Black,799,48,143,10,-12963782,0,10,0
Green,800,48,143,11,-9212353,0,11,0
,801,49,141,0,13540523,0,1,0
,802,49,141,1,12293797,0,4,0
,803,49,141,2,12029340,0,3,0
,804,49,141,3,-3627613,0,5,0
,805,49,141,4,11969941,0,12,0
,806,49,141,5,11316148,0,11,0
,807,49,141,6,14660777,0,6,0
,808,49,141,7,14065303,0,7,0
,809,49,141,8,12814487,0,2,0
,810,49,97,9,14467250,0,71,0
,811,49,97,10,-4020141,0,70,0
,812,49,97,11,-6328224,0,72,0
,813,49,12,12,8680581,0,100,0
,814,49,12,13,0,0,101,0
,815,49,143,14,8680581,0,50,0
,816,49,143,15,5854569,0,53,0
,817,49,143,16,6969711,0,51,0
,818,49,143,17,5788519,0,52,0
,819,49,143,18,5658733,0,54,0
,820,49,143,19,-9272426,0,55,0
,821,49,10,20,0,0,102,0
,822,49,12,21,0,0,103,0
,823,49,138,22,8420754,0,40,0
,824,49,12,23,10593945,0,104,0
,825,50,146,0,0,0,0,0
,826,50,146,1,0,0,1,0
,827,50,146,2,0,0,2,0
,828,50,146,3,0,0,3,0
,829,50,146,4,0,0,4,0
,830,50,146,5,0,0,5,0
,831,50,146,6,0,0,6,0
,832,50,146,7,0,0,7,0
,833,50,146,8,0,0,8,0
,834,50,142,9,0,0,9,0
,835,50,142,10,0,0,10,0
,836,50,142,11,0,0,11,0
,837,50,142,12,0,0,12,0
,838,50,142,13,0,0,13,0
,839,50,142,14,0,0,14,0
,840,50,142,15,0,0,15,0
,841,50,142,16,0,0,16,0
,842,50,142,17,0,0,17,0
Long,843,51,141,0,0,0,0,0
Loose Tail,844,51,141,1,0,0,1,0
Short,845,51,141,2,0,0,2,0
High Tail,846,51,141,3,0,0,3,0
Braided Tails,847,51,141,4,0,0,4,0
Short Tail,848,51,141,5,0,0,5,0
Braided Tail,849,51,141,6,0,0,6,0
Hairband,850,51,141,7,0,0,7,0
Soaked,851,51,141,8,0,0,8,0
Tomboy,852,51,141,9,0,0,9,0
Gathered,853,51,141,10,0,0,10,0
Looped,854,51,141,11,0,0,11,0
Sassy Buns,855,51,141,12,0,0,12,0
Sassy Tails,856,51,141,13,0,0,13,0
Pixie,857,51,141,14,0,0,14,0
,858,52,141,0,5470976,0,2,0
,859,52,141,1,38986,0,4,0
,860,52,141,2,224320,0,5,0
,861,52,141,3,42632,0,6,0
,862,52,141,4,10662851,0,24,0
,863,52,141,5,1404809,0,7,0
,864,52,141,6,3030150,0,8,0
,865,52,141,7,5378694,0,20,0
,866,52,141,8,-13615795,0,9,0
,867,52,141,9,7363458,0,11,0
,868,52,141,10,10295202,0,21,0
,869,52,141,11,11543150,0,23,0
,870,52,141,12,-12625627,0,3,0
Bear,871,53,141,1,0,0,1,0
Blades,872,53,141,2,0,0,2,0
Crane,873,53,141,3,0,0,3,0
Leaf,874,53,141,4,0,0,4,0
Claws,875,53,141,5,0,0,5,0
Wings,876,53,141,6,0,0,6,0
Serpent,877,53,141,7,0,0,7,0
Owl,878,53,141,8,0,0,8,0
Shadow,879,53,141,9,0,0,9,0
None,880,53,141,0,0,0,0,0
None,881,377,141,0,0,0,0,0
Suffering,882,377,143,1,0,0,1,0
Betrayer,883,377,143,2,0,0,2,0
Pain,884,377,143,3,0,0,3,0
Sacrifice,885,377,143,4,0,0,4,0
Revenge,886,377,143,5,0,0,5,0
,887,55,172,1,10420014,0,1,0
,888,55,172,2,-15694040,0,2,0
,889,55,172,3,10952185,0,4,0
,890,55,172,4,1177987,0,3,0
,891,55,172,5,16711714,0,5,0
,892,55,172,6,3294547,0,6,0
None,894,56,141,0,0,0,0,0
Betrayer,895,56,143,1,0,0,1,0
Beast,896,56,143,2,0,0,2,0
Dreadlord,897,56,143,3,0,0,3,0
Curved,898,56,143,4,0,0,4,0
Oni,899,56,143,5,0,0,5,0
Ram,900,56,143,6,0,0,6,0
,901,57,145,0,0,0,0,0
Fel,902,57,143,1,0,0,1,0
Bat,903,57,143,2,0,0,2,0
Fangs,904,57,143,3,0,0,3,0
Veil,905,57,143,4,0,0,4,0
Gem,906,57,143,5,0,0,5,0
Linen,907,57,143,6,0,0,6,0
Red,908,57,143,7,-10282973,0,7,0
Black,909,57,143,8,-15133164,0,8,0
Green,910,57,143,9,-10923735,0,9,0
Tan,911,57,143,10,-9412025,0,10,0
Blue,912,57,143,11,-13481124,0,11,0
,913,58,61,0,-5919879,0,0,0
,914,58,61,1,-7426696,0,1,0
,915,58,61,2,-8344675,0,2,0
,916,58,61,3,-7757397,0,3,0
,917,58,61,4,-7500875,0,4,0
,918,58,61,5,-6711632,0,5,0
,919,58,10,6,0,0,100,0
,920,59,141,0,0,0,0,0
,921,59,141,1,0,0,1,0
,922,59,141,2,0,0,2,0
,923,59,141,3,0,0,3,0
,924,59,141,4,0,0,4,0
,925,59,141,5,0,0,5,0
,926,59,141,6,0,0,6,0
,927,59,141,7,0,0,7,0
,928,59,141,8,0,0,8,0
,929,59,141,9,0,0,9,0
Bald,940,60,141,0,0,0,0,0
Mohawk,941,60,141,1,0,0,1,0
Shaggy,942,60,141,2,0,0,2,0
Wisps,943,60,141,3,0,0,3,0
Spiked,944,60,141,4,0,0,4,0
Wild,945,60,141,5,0,0,5,0
Scholar,946,60,141,6,0,0,6,0
Full,947,60,141,7,0,0,7,0
Topknot,948,60,141,8,0,0,8,0
Long,949,60,141,9,0,0,9,0
Swept,950,60,141,10,0,0,10,0
Monk,951,60,141,11,0,0,11,0
High,952,60,141,12,0,0,12,0
Barbarian,953,60,141,13,0,0,13,0
